QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:08:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
528760, 5.32598, 12.2789, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528771, 5.4487, 12.2718, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528781, 5.57142, 12.2718, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528790, 5.69414, 12.2543, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528800, 5.81686, 12.2999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528811, 5.93957, 12.2508, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528821, 6.06229, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528830, 6.18501, 12.2543, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528840, 6.30422, 12.2999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528850, 6.42694, 11.9142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528861, 6.54615, 11.8967, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528870, 6.66887, 12.2859, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528880, 6.79159, 12.2718, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528890, 6.91431, 12.2543, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528901, 7.03703, 12.2859, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528910, 7.15975, 12.2543, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528920, 7.27896, 12.2894, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528930, 7.40168, 12.2648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528941, 7.52439, 11.9142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528951, 7.64361, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528960, 7.76633, 11.9142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528970, 7.88904, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528980, 8.01176, 12.2718, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528991, 8.13097, 11.9247, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529000, 8.25019, 11.9142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529010, 8.3694, 11.9282, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529020, 8.48861, 11.9212, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529031, 8.61133, 12.2543, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529040, 8.73405, 12.2894, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529050, 8.85326, 12.2403, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529060, 8.97598, 11.9247, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
529071, 9.0987, 12.2894, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
